"","importance","variable"
"distanceFromBallFinal",9.8478828742102,"distanceFromBallFinal"
"launch_angle",7.61183291323484,"launch_angle"
"vz",7.10434088053663,"vz"
"sep_team_2",6.89557091427322,"sep_team_2"
"xDepth",6.41917242899282,"xDepth"
"sep_team_1",6.29838814444129,"sep_team_1"
"v_0",6.29012901818262,"v_0"
"distanceFromBallApex",5.86944670855465,"distanceFromBallApex"
"z",5.80052217791801,"z"
"sep_team_3",5.73709438674925,"sep_team_3"
"sep_opp_2",5.4722523985403,"sep_opp_2"
"vxy",5.43673613612959,"vxy"
"xLineOfScrimmage",5.35195011747936,"xLineOfScrimmage"
"frameId",5.19474211693799,"frameId"
"s_team_3",5.13853653155119,"s_team_3"
"sRet",5.11742886002526,"sRet"
"voronoi_area",5.02644702512514,"voronoi_area"
"disRet",4.88043047313917,"disRet"
"sep_opp_3",4.71410376986096,"sep_opp_3"
"sep_opp_1",4.5429445687534,"sep_opp_1"
"aRet",4.43280792914542,"aRet"
"ballFinalX",4.39728048225938,"ballFinalX"
"s_opp_3",4.24488160063824,"s_opp_3"
"xRet",4.24126831659649,"xRet"
"ballApexX",4.13512837752806,"ballApexX"
"yRet",4.05611549733307,"yRet"
"s_team_2",3.93707634291104,"s_team_2"
"timeRemaining",3.9240278296238,"timeRemaining"
"apexTime",3.92238130778167,"apexTime"
"ballFinalY",3.882453531836,"ballFinalY"
"Temperature",3.32790438699826,"Temperature"
"ballApexY",3.16639625607115,"ballApexY"
"dir_opp_1",2.88827764581883,"dir_opp_1"
"pointDiff",2.51436034044297,"pointDiff"
"Humidity",2.39920627394615,"Humidity"
"dir_opp_2",2.39179985024143,"dir_opp_2"
"s_opp_2",2.38141319052124,"s_opp_2"
"o_team_2",2.1679854678329,"o_team_2"
"dirRet",2.14917573921162,"dirRet"
"s_opp_1",2.05334934654464,"s_opp_1"
"a_team_3",1.91607114647357,"a_team_3"
"oRet",1.9008373650582,"oRet"
"Precipitation",1.77261196952339,"Precipitation"
"Pressure",1.72788482349433,"Pressure"
"dir_team_2",1.69740025772794,"dir_team_2"
"o_opp_1",-1.53159051255579,"o_opp_1"
"numVises",1.51345330335775,"numVises"
"a_opp_2",1.49957609961784,"a_opp_2"
"dir_opp_3",1.49654307483728,"dir_opp_3"
"dirChange",1.23827125234653,"dirChange"
"numRushers",1.19883000609484,"numRushers"
"o_opp_2",1.0698431990675,"o_opp_2"
"s_team_1",1.05490262637231,"s_team_1"
"WindSpeed",-0.989449368892048,"WindSpeed"
"operationTime",0.952174636933906,"operationTime"
"o_team_1",0.869022624064143,"o_team_1"
"a_team_1",0.822204031264729,"a_team_1"
"yardsToGo",0.76313270857957,"yardsToGo"
"numGunners",-0.726536508096496,"numGunners"
"o_team_3",0.62505056292501,"o_team_3"
"a_opp_3",-0.575529265273019,"a_opp_3"
"o_opp_3",0.545400654670039,"o_opp_3"
"NewPosition",0.519961076506089,"NewPosition"
"a_team_2",-0.444078504107891,"a_team_2"
"dir_team_3",-0.391482396612018,"dir_team_3"
"dir_team_1",-0.191448472318954,"dir_team_1"
"quarter",0.11334254022038,"quarter"
"a_opp_1",-0.049387563746553,"a_opp_1"
